LAT,LON,YEAR,MO,DY,WS10M
19.5,73.75,2025,2,13,3.29
19.5,74.375,2025,2,13,3.12
20,71.875,2025,2,13,5.87
20,72.5,2025,2,13,5.95
20,73.125,2025,2,13,4.16
20,73.75,2025,2,13,3.53
20,74.375,2025,2,13,3.13
18.5,71.875,2025,2,14,5.93
18.5,72.5,2025,2,14,5.08
18.5,73.125,2025,2,14,4.27
18.5,73.75,2025,2,14,3.61
18.5,74.375,2025,2,14,3.19
19,71.875,2025,2,14,5.99
19,72.5,2025,2,14,5.05
19,73.125,2025,2,14,4
19,73.75,2025,2,14,3.4
19,74.375,2025,2,14,3.18
19.5,71.875,2025,2,14,5.93
19.5,72.5,2025,2,14,5.23
19.5,73.125,2025,2,14,4.08
19.5,73.75,2025,2,14,3.35
19.5,74.375,2025,2,14,3.04
20,71.875,2025,2,14,5.38
20,72.5,2025,2,14,5.31
20,73.125,2025,2,14,4.16
20,73.75,2025,2,14,3.49
20,74.375,2025,2,14,3
18.5,71.875,2025,2,15,5.51
18.5,72.5,2025,2,15,5.22
18.5,73.125,2025,2,15,4.09
18.5,73.75,2025,2,15,3.52
18.5,74.375,2025,2,15,3.1
19,71.875,2025,2,15,4.93
19,72.5,2025,2,15,4.88
19,73.125,2025,2,15,3.89
19,73.75,2025,2,15,3.38
19,74.375,2025,2,15,3.01
19.5,71.875,2025,2,15,4.18
19.5,72.5,2025,2,15,4.3
19.5,73.125,2025,2,15,3.86
19.5,73.75,2025,2,15,3.33
19.5,74.375,2025,2,15,2.81
20,71.875,2025,2,15,3.39
20,72.5,2025,2,15,3.59
20,73.125,2025,2,15,3.66
20,73.75,2025,2,15,3.44
20,74.375,2025,2,15,2.86
18.5,71.875,2025,2,16,5.36
18.5,72.5,2025,2,16,5.36
18.5,73.125,2025,2,16,3.93
18.5,73.75,2025,2,16,3.23
18.5,74.375,2025,2,16,2.8
19,71.875,2025,2,16,4.71
19,72.5,2025,2,16,4.79
19,73.125,2025,2,16,3.64
19,73.75,2025,2,16,3.07
19,74.375,2025,2,16,2.78
19.5,71.875,2025,2,16,4.19
19.5,72.5,2025,2,16,4.07
19.5,73.125,2025,2,16,3.49
19.5,73.75,2025,2,16,2.94
19.5,74.375,2025,2,16,2.64
20,71.875,2025,2,16,3.81
20,72.5,2025,2,16,3.38
20,73.125,2025,2,16,3.03
20,73.75,2025,2,16,3.01
20,74.375,2025,2,16,2.98
18.5,71.875,2025,2,17,6.08
18.5,72.5,2025,2,17,5.73
18.5,73.125,2025,2,17,3.6
18.5,73.75,2025,2,17,2.7
18.5,74.375,2025,2,17,2.36
19,71.875,2025,2,17,5.73
19,72.5,2025,2,17,5.2
19,73.125,2025,2,17,3.35
19,73.75,2025,2,17,2.62
19,74.375,2025,2,17,2.47
19.5,71.875,2025,2,17,5.17
19.5,72.5,2025,2,17,4.63
19.5,73.125,2025,2,17,3.32
19.5,73.75,2025,2,17,2.62
19.5,74.375,2025,2,17,2.45
20,71.875,2025,2,17,4.48
20,72.5,2025,2,17,4.27
20,73.125,2025,2,17,3.09
20,73.75,2025,2,17,2.83
20,74.375,2025,2,17,2.74
18.5,71.875,2025,2,18,6.05
18.5,72.5,2025,2,18,5.69
18.5,73.125,2025,2,18,3.45
18.5,73.75,2025,2,18,3.14
18.5,74.375,2025,2,18,2.99
19,71.875,2025,2,18,5.53
19,72.5,2025,2,18,5.17
19,73.125,2025,2,18,3.39
19,73.75,2025,2,18,3.16
19,74.375,2025,2,18,3.12
19.5,71.875,2025,2,18,4.6
19.5,72.5,2025,2,18,4.32
19.5,73.125,2025,2,18,3.49
19.5,73.75,2025,2,18,3.19
19.5,74.375,2025,2,18,3.08
20,71.875,2025,2,18,3.57
20,72.5,2025,2,18,3.55
20,73.125,2025,2,18,3.33
20,73.75,2025,2,18,3.36
20,74.375,2025,2,18,3.28
18.5,71.875,2025,2,19,5.58
18.5,72.5,2025,2,19,5.34
18.5,73.125,2025,2,19,3.4
18.5,73.75,2025,2,19,3.07
18.5,74.375,2025,2,19,3.06
19,71.875,2025,2,19,5.35
19,72.5,2025,2,19,5.23
19,73.125,2025,2,19,3.47
19,73.75,2025,2,19,3.1
19,74.375,2025,2,19,3.09
19.5,71.875,2025,2,19,4.8
